winery_name,winery_location,year_created,winery_rating,most_popular_wine,most_bought_wine
Tikves,"810 no. 2, Skopje 1000",1885,4.5,"Alexandria Cuvee Red",Smederevka
Sopot,"MK, Veles 1400",2006,4.4,"Barrique Cabernet Sauvignon","Sopot Temjanika"
Stobi,"Avtopat b.b., Gradsko 1400",2009,4.7,"Stobi Vranec","Stobi Vranec"
Bovin,"Индустриска, Negotino 1440",1998,4.8,"Bovin Imperator","Muscat Temjanika"
Ezimit,"Ul. Bregalnicka 64a, Shtip",1994,3.6,"Ezimit Vino Merlot & Cabernet Sauvignon","Ezimit Vino Chardonnay Barrique"
Dalvina,"R1302, Hamzali 2431",2006,3.8,"Dalvina Hermes Vranec","Dalvina Hermes Vranec"
Kamnik,"Kamnik bb Skopje MK, 1000",2004,4.8,"Chateau Kamnik Terroir Grand Reserva Vranec","Chateau Kamnik Carmenere"
Popov,"F2RC+JH6, Sopoti",2001,4.6,"Luna Cremant Blanc de Blancs Extra Brut","Popov Cabernet Franc Vrshnik"
"Rigo Impleks","6HRW+9Q7, Vevchani",1990,0,N/A,N/A
"Puklavec Family Wines","C3RW+W3V, Unnamed Road, Timjaniku, Dolni Disan",1934,4.8,"Seven Numbers 7 Furmint","SAUVIGNON BLANC & PINOT GRIGIO"
Movino,"GXC7+HVF, MK, Industriska BB, Rosoman 1422",2015,3.5,Vranec,"Makedonsko belo"
Venec,"s Dolni Disan, Negotino 1443",1956,3.3,"Temjanika Koria","Vranec Orle"
"GD Tikves","Ul. Kamendol - Trstenik S MK, Trstenik 1422",1885,3.6,"CHARDONNAY 2021",Vranec
